source,id,label,caption,url
ww,002130,_ participating in a religious ceremony with _,"Bishop _ of Mokissos (standing at right) washing his hands during Divine Liturgy on Holy Saturday at Holy Anargyroi Greek Orthodox Church in Rochester, Minnesota, United States",
ww,002716,_ saluting with _,"Navy Adm. _, chairman of the Joint Chiefs of Staff, and Army Lt. Gen. _ salute during a relinquishment of command ceremony on MacDill Air Force Base, Fla., March 28, 2008. _ is temporarily taking over as CENTCOM commander due to _ decision to retire.",
ww,004086,_ swearing in _,"Attorney General _, and his wife _ at his swearing 2007 swearing in, officiated by then Governor _.",
ww,008649,_ saying goodbye to _,"Ms. _, wife of Gen. _, the Vice Chairman of the Joint Chiefs of Staff, bids farewell to French Gen. _, Chief of Defence Staff, after an Armed Forces Honors ceremony at Conmy Hall, Fort Myer-Henderson Hall, Va., Feb. 6, 2017. _. _)",
ww,009236,_ wrestling with _,_ (red) wrestles _ of Portugal (blue) during their female wrestling 48 kg qualification match at the Golden Grand Prix of Paris on 8 February 2014.,
ww,010376,_ putting his arms on _'s shoulders,"_, _ and _, covered on El Gráfico.",
ww,011046,_ showing _ how to operate an unmanned vehicle,"Defense Secretary _ learns how to operate an unmanned ground vehicle during a tour of the future combat systems facility on Fort Bliss in El Paso, Texas, May 1, 2008.",
ww,012441,_ sitting and talking with _,"_ calling on the Prime Minister, _, at 7 Race Course Road, in New Delhi on June 17, 2014.",
ww,012551,_ escorting _,"Secretary of Defense _ (right) escorts Bulgarian Minister of Defense _ (center) through an honor cordon and into the Pentagon on a snowy Feb. 3, 2005. _ and _ will meet to discuss a range of bilateral security issues.",
ww,014528,_ listening to _ give a speech,"Days after President _ released a budget that would slash support for working families, Sens. _ (I-Vt.), _ (D-Wash.) and _ (D-N.Y.), joined by 28 of their colleagues in the Senate, introduced legislation to raise the federal minimum wage to $15 an hour. Reps. _ (D-Va.) and _ (D-Minn.) introduced a companion bill Thursday with 152 cosponsors in the House. “Just a few short years ago, we were told that raising the minimum wage to $15 an hour was ‘radical.’ But a grassroots movement of millions of workers throughout this country refused to take ‘no’ for an answer, ” _ said.",
